################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.5722532846268500E+00 a       273     0    28     1     3
 -8.9300499051907529E+00 a       274     0    28     1     4
  1.0963060921476350E+01 a       275     0    28     1     5
 -2.4729454928623724E+00 a       276     0    28     1     6
  9.2716525756593988E+00 a       277     0    28     1     7
  1.6839183069743036E+01 a       278     0    28     1     8
  6.9773649451151947E+00 a       279     0    28     1     9
 -2.0982880079278048E+00 a       280     0    28     1    10
  9.8116453510355139E-01 a       281     0    29     1     1
 -3.6094820166438937E+00 a       282     0    29     1     2
 -5.9872944294803587E-01 a       283     0    29     1     3
 -6.6151132433144664E+00 a       284     0    29     1     4
  8.6711552812125241E+00 a       285     0    29     1     5
  7.4980677189616465E+00 a       286     0    29     1     6
  6.4711038384732946E+00 a       287     0    29     1     7
  1.0403808931219491E+01 a       288     0    29     1     8
  6.5120900225860270E+00 a       289     0    29     1     9
  1.3140794982707400E+01 a       290     0    29     1    10
 -7.8541098031354730E+00 a       291     0    30     1     1
 -5.5567125496017153E+00 a       292     0    30     1     2
 -1.0064110178667049E+01 a       293     0    30     1     3
  1.5336342163959729E+01 a       294     0    30     1     4
 -1.9602633967391059E+00 a       295     0    30     1     5
 -2.0407981174276193E+00 a       296     0    30     1     6
  1.4517266891008749E+00 a       297     0    30     1     7
  4.3035330161631347E+00 a       298     0    30     1     8
 -5.9148066940412871E+00 a       299     0    30     1     9
 -5.8248157032012902E+00 a       300     0    30     1    10
 -1.5857237472447478E+00 a       301     0    31     1     1
  1.8762156945983401E+00 a       302     0    31     1     2
  4.3095665472925768E+00 a       303     0    31     1     3
 -5.6169379091569454E+00 a       304     0    31     1     4
 -2.6156276353164984E+00 a       305     0    31     1     5
  1.9085312607838674E+00 a       306     0    31     1     6
  6.7780191591250583E-01 a       307     0    31     1     7
  1.3662279669383659E+00 a       308     0    31     1     8
 -2.5241182061821699E-01 a       309     0    31     1     9
 -2.8109826063293069E+00 a       310     0    31     1    10
 -1.2626124665230891E+00 a       311     0    32     1     1
 -2.4696023095455288E+00 a       312     0    32     1     2
 -4.2156820029542619E+00 a       313     0    32     1     3
  2.8818878374653316E+00 a       314     0    32     1     4
  1.9896942591974813E+00 a       315     0    32     1     5
 -7.5892720233428834E-01 a       316     0    32     1     6
 -1.4020139376555774E-01 a       317     0    32     1     7
 -7.2429653914467833E+00 a       318     0    32     1     8
 -7.3347377768610844E-01 a       319     0    32     1     9
 -8.7482242530141571E-03 a       320     0    32     1    10
  2.9774613676154227E-01 a       321     0    33     1     1
  5.3039010470666359E-01 a       322     0    33     1     2
 -1.3590688632535364E+00 a       323     0    33     1     3
  2.3544632988743723E+00 a       324     0    33     1     4
  4.5430085807769305E-01 a       325     0    33     1     5
